video_id,titulo,fecha_publicacion,duracion_seg,pct_reproducido,duracion_promedio_vista,vistas,horas_reproduccion,categoria,es_short,ingresos_usd
D23gDYzOV1w,Mercedes Ramos: una serena sirena al mando de Grupo Ramos,"Oct 20, 2021",353,46.78,0:02:45,36,1.6512,Empresarios / Liderazgo,False,
SYRpkV0YquE,Liderazgo con Luis Galindo: cómo la Psicología Positiva Transforma Vidas - Mercado Podcast,"Aug 7, 2024",4190,9.26,0:06:27,15,1.6158,Mercado Podcast,False,0.088
R6XsdtZiYtA,Claudio Huepe: República Dominicana puede convertirse en líder energético de la región,"Aug 3, 2026",1211,6.68,0:01:20,69,1.5299,Empresarios / Liderazgo,False,
4J2NADZF-Gw,Cómo Arajet transformó el precio de volar en RD: la visión de Víctor Pacheco,"Apr 14, 2026",687,41.57,0:04:45,19,1.5072,Otros / Institucional,False,
rpx1xIZ1NE0,Sin vía electoral ¿Ortega abre la puerta a una nueva dictadura en Nicaragua?,"Jul 21, 2026",111,62.64,0:01:09,117,1.4366,Noticias breves (geopolítica/actualidad),True,0.008
LI4BTntJUAw,¿Cleopatra descansa en el Taposiris Magna? - Dra. Kathleen Martínez,"Dec 10, 2024",57,70.37,0:00:40,239,1.4,Documental (Kathleen Martínez),True,0.009
0EJ_AkUSQNI,Raquel Arbaje: Cómo entiende el poder la primera dama de RD,"Mar 15, 2025",1266,32.81,0:06:55,12,1.3844,Otros / Institucional,False,0.003
kPA6kWxdURM,Conversaciones con el Dr. Enrique Rojas Episode 3 - Mercado Podcast,"Aug 12, 2024",1082,23.6,0:04:15,19,1.3474,Mercado Podcast,False,0.016
wuYK_s440ZI,Stanley Motta Presidente Copa Holdings en entrevista exclusiva para Revista Mercado,"Jul 12, 2018",909,9.13,0:01:22,57,1.3135,Empresarios / Liderazgo,False,0.028
OpryEs10RUs,De campeones a sancionados: las consecuencias de la Albiceleste,"Jul 22, 2026",96,81.26,0:01:18,120,1.2981,Deportes,True,0.009
FU72O7nI7vo,Martín Ibarra: cómo las zonas francas pueden cambiar la historia de República Dominicana,"Aug 5, 2026",821,8.94,0:01:13,57,1.1624,Empresarios / Liderazgo,False,
7ZqlqgxfUp0,Iván Duque: El mundo VICA llegó para quedarse,"Jun 18, 2025",2042,66.93,0:22:46,3,1.1388,Otros / Institucional,False,
gM1nWCUaNH8,¿Qué hace que una empresa sea un excelente lugar para trabajar?,"Aug 6, 2026",1084,7.27,0:01:18,52,1.1387,Otros / Institucional,False,
_x0rvvUHzF0,"Messi, el VAR y el negocio detrás del mundial 2026 ¿está en duda la potencia Argentina","Jul 9, 2026",113,599.09,0:11:16,27,1.1351,Deportes,True,0.002
vV3Uw15K5Go,ÚLTIMA HORA Trump estalla tras filtración del acuerdo secreto con Irán,"Jun 12, 2026",89,79.63,0:01:10,93,1.0708,Noticias breves (geopolítica/actualidad),True,0.006
LmC-Svf2RKU,Los sucesores Business must go on - Sr. Román Ramos,"Aug 6, 2026",84,55.12,0:00:46,83,1.0676,Empresarios / Liderazgo,True,0.103
-lv4vvs0p84,"PANORAMA JETS, una empresa 100% dominicana que vuela por todo el mundo","Jan 24, 2024",3038,21.08,0:10:40,6,1.0671,Otros / Institucional,False,
eb7j3XDV8FA,Catástrofe sísmica en Venezuela declaran estado de emergencia tras dos potentes terremotos,"Jun 25, 2026",101,57.45,0:00:58,125,1.0521,Noticias breves (geopolítica/actualidad),True,0.01
hLfBxTGikAA,Roberto Stark - Parte 1,"Jun 3, 2019",1815,41.22,0:12:28,5,1.0392,Otros / Institucional,False,0.003
5NIC2lEpA7M,Santo Domingo 2026 RD vuelve al centro del deporte regional,"Jul 24, 2026",115,39.78,0:00:45,132,1.0041,Otros / Institucional,True,0.013
LFPxZt5q1Bg,"Vivian Acra de Marsh McLennan, una trayectoria inspiradora en los seguros","Dec 27, 2023",2408,28.87,0:11:35,5,0.9656,Empresarios / Liderazgo,False,
YgjZ1tT2duA,La Entrevista con el Dr. Leonel Fernández,"May 26, 2015",5359,3.1,0:02:45,20,0.9219,Empresarios / Liderazgo,False,
ldpMCSOjtn0,¿Cómo es el amor verdadero? Dr. Enrique Rojas en Mercado Podcast,"Aug 20, 2024",29,117.48,0:00:34,139,0.9142,Mercado Podcast,True,0.007
3AKYB0OhAf8,De perder su empleo a crear uno de los talleres más grandes de República Dominicana,"Jul 27, 2026",707,23.13,0:02:43,20,0.9085,Otros / Institucional,False,
ATzDQ6aEFJE,Escándalo en Venezuela se revela desvío de ayuda humanitaria tras los terremotos,"Jul 6, 2026",74,75.02,0:00:55,92,0.8728,Noticias breves (geopolítica/actualidad),True,0.006
1wNaxRkKXCE,De los negocios familiares al liderazgo automotriz: la historia de María Bellapart,"Aug 6, 2026",326,15.52,0:00:50,59,0.8172,Empresarios / Liderazgo,False,
