Contenido,Título del video,Tiempo de publicación del video,Duración,Porcentaje promedio reproducido (%),Duración promedio de vistas,Vistas,Tiempo de reproducción (horas),Ingresos estimados (USD)
NGbiZM-qQWc,Intento de atentado en Washington obliga a evacuar a Donald Trump durante cena oficial,"Apr 26, 2026",36,87.53,0:00:31,21975,99.4333,
sRWNfbpYGLo,"""La Garra""  presidencial: El histórico y millonario festejo de cumpleaños de Trump","Jun 15, 2026",84,90.93,0:01:16,7353,95.8945,
VVhXBxviFjc,ÚLTIMA HORA: Tregua de 60 días entre EEUU e Irán tras hostilidades espera la aprobación de Trump,"May 28, 2026",70,109.99,0:01:16,6835,92.7068,
GUwm1t9w1Ts,"""La Conquista De Un Sueño"" - Grupo PuntaCana","Aug 21, 2019",618,48.62,0:05:00,1108,92.471,
pdihekua3d4,IMPACTO DE EL NIÑO El fenómeno que va a cambiar el clima del planeta este año,"Jun 3, 2026",89,94.53,0:01:24,7016,90.0013,
VZrNfq2_h4U,ICE bajo la lupa: dos muertes más en operativos migratorios,"Jul 14, 2026",135,91.29,0:02:03,3772,89.3303,
xekQ0qI2Hmw,El bloqueo naval continúa: la crisis mundial crece,"Apr 15, 2026",85,96.58,0:01:22,5809,87.2662,
bF243NHAEzs,"Ana Ibáñez: Tu cerebro no quiere que seas feliz, quiere que sobrevivas","Jun 3, 2025",875,41.56,0:06:03,858,86.6649,
UPHZlxw3q_g,Ultimatum de Trump: Alerta de la economía global,"Apr 6, 2026",74,88.09,0:01:05,6286,84.8249,
82oTAq5xD8k,Juan Carlos Escotet (Banesco): No debe cambiar la estrategia si los resultados son satisfactorios,"May 28, 2025",871,34.35,0:04:59,961,79.8661,
oT4nPPEX_oA,G7 Bajo presión por el incógnito pacto nuclear,"Jun 16, 2026",97,94.92,0:01:32,4850,79.0956,
JQBx9orXtQU,¿Cómo se produce Ron Brugal?,"Nov 27, 2015",1519,25.49,0:06:27,731,78.6232,
7iVab2oyQB4,"5,000 soldados a Polonia: jugada geopolítica de Trump","May 22, 2026",88,95.75,0:01:24,4957,69.9664,
XqQI2vCgqEM,"Guerra, petróleo e inflación: el nuevo frente económico global.","May 12, 2026",103,96.9,0:01:39,4326,69.4121,
rLzZOqYMBEU,Tensión máxima en el Golfo | ACTUALIDAD,"Apr 13, 2026",118,81.78,0:01:36,3568,66.1774,
JHe9AzcgYq0,Tensión geopolítica vuelve a escalar: Ormuz el centro del riesgo global,"Apr 20, 2026",112,95.54,0:01:47,3619,64.2417,
Snkb0Qeeb6k,Conoce el costo de las boletas del Clasico Mundial 2026,"Mar 13, 2026",58,100.06,0:00:58,6168,62.5368,
i8eUpbgfbxU,La clave para equilibrar cabeza y corazón en la vida y el trabajo - Isabel Rojas Estapé,"Jul 4, 2025",2321,27.98,0:10:49,325,58.6348,
dAGdLBjfrWU,Lecciones de vida y negocios - Don Pepin Corripio,"Mar 12, 2026",770,31.91,0:04:05,839,57.2699,
RoHQXkK0Sjs,Golpe judicial a la guerra comercial de Trump,"May 8, 2026",89,92.92,0:01:22,3837,54.9602,
vm1HY10py2U,Celebración de Argentina desata polémica internacional,"Jul 16, 2026",100,82.6,0:01:22,3676,53.9546,
izHlT-yutXw,US$700 millones: la proyección financiera de The Devil Wear Prada 2,"Apr 21, 2026",108,75.57,0:01:21,3466,53.866,
uwYRnem0B1w,República Dominicana derrota a Venezuela en el Clásico Mundial de Béisbol 2026,"Mar 12, 2026",50,71.24,0:00:35,9064,53.6252,
Sd5rA8EFEuQ,Sin control del uranio Lo que oculta el documento filtrado entre Trump y Teherán,"Jun 17, 2026",92,87.93,0:01:20,3295,51.3928,
0waYhkFY3AM,Orgullo dominicano que convirtió velocidad en millones: Marileidy Paulino,"Aug 6, 2026",97,81.9,0:01:19,3995,51.2725,
AxRpqREtrBU,De la CIA al servicio diplomático: Leah F. Campos y sus prioridades en RD,"Dec 17, 2025",815,28.12,0:03:49,787,50.1097,
FXyFBdfB9R0,Alineación total de De la Espriella con Trump: Mano de Hierro con el narcotráfico,"Jun 24, 2026",114,82.53,0:01:34,2715,47.604,
9bYquk7aXNA,Artemis II: Un paso hacia marte. Todo lo que necesitas saber:,"Apr 1, 2026",86,85.77,0:01:13,3334,47.4376,
30O15yTA2_Y,Alerta sanitaria en Estados Unidos por un parásito intestinal,"Jul 15, 2026",94,97.34,0:01:31,2932,45.8178,
A2AftDgiCdQ,¿Por qué el Mundial 2026 cambiará el fútbol para siempre?,"Jun 10, 2026",83,63.7,0:00:52,5705,45.5456,
pVsh74SZooU,Posibles focos de contagio del HANTAVIRUS están fuera del barco,"May 8, 2026",121,47.51,0:00:57,4421,42.4967,
pHPkLm_vRU4,Trump y Xi  la reunión que pone a prueba el equilibrio mundial,"May 13, 2026",101,82.95,0:01:23,2809,42.185,
-lv4vvs0p84,"PANORAMA JETS, una empresa 100 % dominicana que vuela por todo el mundo","Jan 24, 2024",3038,15.9,0:08:02,309,41.4573,
Z70RK6gN8fw,Mercado Octubre - Cover Story: Los Poma,"Sep 21, 2016",245,53,0:02:09,1142,41.1884,
sFiyV8FOTK4,Cuenta regresiva para Irán: Hasta hoy a las 8:00 P.M.,"Apr 7, 2026",71,96.51,0:01:08,3176,39.0778,
DllHnw8bnVw,Megaincendios temperaturas extremas ponen al mundo bajo presión climática,"Jul 28, 2026",113,80.4,0:01:30,2317,37.9051,
5I-Eed7HHN4,Planeta en llamas: El impacto letal de la nueva ola de calor global,"Jun 23, 2026",92,94.26,0:01:26,2533,37.8021,
hGO4oCxf5ok,Estados Unidos en alerta por caso de ébola,"May 19, 2026",90,74.46,0:01:07,3535,37.5587,
kPA6kWxdURM,Conversaciones con el Dr. Enrique Rojas Episode 3 - Mercado Podcast,"Aug 12, 2024",1082,48.2,0:08:41,257,37.232,
RYPF_t_itV8,Crisis económica global más allá del precio del petroleo.,"Apr 23, 2026",121,82.5,0:01:39,2026,36.1607,
MHggLrPp8Aw,Conversaciones con el Dr. Enrique Rojas Episode 2 - Mercado Podcast,"Aug 10, 2024",1030,46.09,0:07:54,274,36.1293,
2wxuLC8iVRg,EEUU sale del cierre de Gobierno,"Nov 19, 2025",43,94.97,0:00:40,5067,35.4877,
74sBB0YG2Jc,En alerta pero sin pánico: Las Medidas de México ante el Ébola,"May 27, 2026",91,72.45,0:01:05,2865,35.3401,
msRapL7_blA,"Venezuela, un punto de inflexión para la diplomacia: John M. Barrett asume liderazgo","Apr 15, 2026",90,79.55,0:01:11,2562,34.383,
UJ5dDzga0kk,Escenario extermo: el petróleo podría subar a US$ 200 por la crisis de Irán,"Mar 30, 2026",49,87.92,0:00:43,4774,32.4602,
uHAbitEHbU0,"La integridad, parte del ADN de EPSA LABCO:","Jun 17, 2022",307,94.44,0:04:49,391,31.4911,
1ChJcykOei8,Lo que no se mostró de la inauguración del Mundial 2026,"Jun 12, 2026",80,77.39,0:01:01,2731,30.9344,
Fml8H-SIeBk,La NASA y Netflix hoy nos llevan a la luna,"Apr 6, 2026",103,71.07,0:01:13,2276,30.4781,
T4Qvp2PSA44,¿Se vende el Mundial?  La polémica propuesta que desata una crisis en la FIFA,"Jul 29, 2026",95,90.27,0:01:25,2204,30.4384,
