autor,entidad,tipo,notas,confianza,meses_activos,mes_primero,mes_reciente,demanda_reciente_ratio,es_recurrente
Elba Reyes,Banco Central,entidad,2,baja,2,2026-01,2026-02,0.0,False
Elba Reyes,cambio de la cédula,tema,2,baja,2,2026-01,2026-07,0.9641353059778252,False
Elba Reyes,Caribe,entidad,3,media,2,2026-01,2026-07,1.0,False
Elba Reyes,ceremonia inaugural,tema,2,baja,2,2026-06,2026-07,0.0669613497176619,False
Elba Reyes,WhatsApp,entidad,32,alta,2,2026-07,2026-08,0.0,False
Elba Reyes,Copa,entidad,12,alta,2,2026-06,2026-07,1.0,False
Elba Reyes,cuánto cuesta,tema,4,media,2,2026-04,2026-07,1.0,False
Elba Reyes,cuánto dinero,tema,5,media,2,2026-05,2026-07,0.30330073854515455,False
Elba Reyes,cuartos de final,tema,3,media,2,2026-03,2026-07,1.0,False
Elba Reyes,días que debes evitar,tema,3,media,2,2026-03,2026-04,0.0,False
Elba Reyes,dieciseisavos de final,tema,2,baja,2,2026-06,2026-07,0.2238390652384481,False
Elba Reyes,dominicana,entidad,3,media,2,2026-04,2026-07,0.13368316500371594,False
Elba Reyes,escena post,tema,2,baja,2,2026-06,2026-07,1.0,False
Elba Reyes,España,entidad,4,media,2,2026-01,2026-07,1.0,False
Elba Reyes,espectáculo de clausura,tema,2,baja,2,2026-07,2026-08,1.0,False
Elba Reyes,estudios científicos,tema,3,media,2,2026-02,2026-07,0.6722454636980981,False
Elba Reyes,Europa,entidad,2,baja,2,2026-01,2026-07,0.25755090570647016,False
Elba Reyes,evitar para cortarte,tema,3,media,2,2026-03,2026-04,0.0,False
Elba Reyes,famoso del fútbol,tema,2,baja,2,2026-06,2026-07,0.07512954134729098,False
Elba Reyes,fecha de lanzamiento,tema,2,baja,2,2026-07,2026-08,0.0,False
Elba Reyes,fin de semana,tema,5,media,2,2026-04,2026-07,0.36633804499271866,False
Elba Reyes,final del mundial,tema,10,alta,2,2026-06,2026-07,1.0,False
Elba Reyes,Cristiano Ronaldo,entidad,3,media,2,2026-07,2026-08,1.0,False
Elba Reyes,cuántas medallas,tema,2,baja,2,2026-07,2026-08,1.0,False
Elba Reyes,Google,entidad,3,media,2,2026-02,2026-07,0.0,False
Elba Reyes,guía paso,tema,6,media,2,2026-07,2026-08,0.6613309126276254,False
Elba Reyes,Harvard,entidad,2,baja,2,2026-02,2026-06,0.0,False
Elba Reyes,está hecha,tema,2,baja,2,2026-06,2026-07,0.07512954134729098,False
Elba Reyes,hora verla,tema,2,baja,2,2026-04,2026-07,0.2573968609503498,False
Elba Reyes,horóscopo chino,tema,3,media,2,2026-02,2026-05,0.0,False
Elba Reyes,IA,entidad,2,baja,2,2026-04,2026-07,0.0,False
Elba Reyes,IMDb,entidad,2,baja,2,2026-02,2026-07,0.4134737489750803,False
